Index,Original_Index,Num_c,SMILES,SMILES_Salt,Halide_Type
156,79,10,CC[N+](CC)(CC)CC(C)C,CC[N+](CC)(CC)CC(C)C.[Cl-],Chloride
157,81,11,CC(C)CC[N+](C)(C)CC(C)C,CC(C)CC[N+](C)(C)CC(C)C.[Br-],Bromide
158,81,11,CC(C)CC[N+](C)(C)CC(C)C,CC(C)CC[N+](C)(C)CC(C)C.[Cl-],Chloride
159,82,11,CC(C)C[N+](C)(C(C)C)C(C)C,CC(C)C[N+](C)(C(C)C)C(C)C.[Br-],Bromide
160,82,11,CC(C)C[N+](C)(C(C)C)C(C)C,CC(C)C[N+](C)(C(C)C)C(C)C.[Cl-],Chloride
161,83,11,CC(C)[N+](C)(C(C)C)C(C)(C)C,CC(C)[N+](C)(C(C)C)C(C)(C)C.[Br-],Bromide
162,83,11,CC(C)[N+](C)(C(C)C)C(C)(C)C,CC(C)[N+](C)(C(C)C)C(C)(C)C.[Cl-],Chloride
163,85,11,CCC(C)C[N+](C)(C)CC(C)C,CCC(C)C[N+](C)(C)CC(C)C.[Br-],Bromide
164,85,11,CCC(C)C[N+](C)(C)CC(C)C,CCC(C)C[N+](C)(C)CC(C)C.[Cl-],Chloride
165,87,11,CCC(C)C[N+](CC)(CC)CC,CCC(C)C[N+](CC)(CC)CC.[Br-],Bromide
166,87,11,CCC(C)C[N+](CC)(CC)CC,CCC(C)C[N+](CC)(CC)CC.[Cl-],Chloride
167,88,11,CCCC(C)[N+](C)(C)C(C)(C)C,CCCC(C)[N+](C)(C)C(C)(C)C.[Br-],Bromide
168,88,11,CCCC(C)[N+](C)(C)C(C)(C)C,CCCC(C)[N+](C)(C)C(C)(C)C.[Cl-],Chloride
169,93,11,CCCCCCC[N+](C)(C)CC,CCCCCCC[N+](C)(C)CC.[Br-],Bromide
170,93,11,CCCCCCC[N+](C)(C)CC,CCCCCCC[N+](C)(C)CC.[Cl-],Chloride
171,94,11,CCCCCC[N+](C)(C)C(C)C,CCCCCC[N+](C)(C)C(C)C.[Br-],Bromide
172,94,11,CCCCCC[N+](C)(C)C(C)C,CCCCCC[N+](C)(C)C(C)C.[Cl-],Chloride
173,95,11,CCCCCC[N+](C)(C)CCC,CCCCCC[N+](C)(C)CCC.[Br-],Bromide
174,95,11,CCCCCC[N+](C)(C)CCC,CCCCCC[N+](C)(C)CCC.[Cl-],Chloride
175,96,11,CCCCCC[N+](C)(CC)CC,CCCCCC[N+](C)(CC)CC.[Br-],Bromide
176,96,11,CCCCCC[N+](C)(CC)CC,CCCCCC[N+](C)(CC)CC.[Cl-],Chloride
177,97,11,CCCCC[N+](C)(C)C(C)(C)C,CCCCC[N+](C)(C)C(C)(C)C.[Br-],Bromide
178,97,11,CCCCC[N+](C)(C)C(C)(C)C,CCCCC[N+](C)(C)C(C)(C)C.[Cl-],Chloride
179,99,11,CCCCC[N+](C)(C)CCCC,CCCCC[N+](C)(C)CCCC.[Br-],Bromide
180,99,11,CCCCC[N+](C)(C)CCCC,CCCCC[N+](C)(C)CCCC.[Cl-],Chloride
181,101,11,CCCCC[N+](C)(CC)CCC,CCCCC[N+](C)(CC)CCC.[Br-],Bromide
182,101,11,CCCCC[N+](C)(CC)CCC,CCCCC[N+](C)(CC)CCC.[Cl-],Chloride
183,102,11,CCCCC[N+](CC)(CC)CC,CCCCC[N+](CC)(CC)CC.[Br-],Bromide
184,102,11,CCCCC[N+](CC)(CC)CC,CCCCC[N+](CC)(CC)CC.[Cl-],Chloride
185,104,11,CCCC[N+](C)(C)C(C)CCC,CCCC[N+](C)(C)C(C)CCC.[Br-],Bromide
186,104,11,CCCC[N+](C)(C)C(C)CCC,CCCC[N+](C)(C)C(C)CCC.[Cl-],Chloride
187,105,11,CCCC[N+](C)(C)CC(C)CC,CCCC[N+](C)(C)CC(C)CC.[Br-],Bromide
188,105,11,CCCC[N+](C)(C)CC(C)CC,CCCC[N+](C)(C)CC(C)CC.[Cl-],Chloride
189,106,11,CCCC[N+](C)(C)CCC(C)C,CCCC[N+](C)(C)CCC(C)C.[Br-],Bromide
190,106,11,CCCC[N+](C)(C)CCC(C)C,CCCC[N+](C)(C)CCC(C)C.[Cl-],Chloride
191,109,11,CCCC[N+](C)(CC)CCCC,CCCC[N+](C)(CC)CCCC.[Br-],Bromide
192,109,11,CCCC[N+](C)(CC)CCCC,CCCC[N+](C)(CC)CCCC.[Cl-],Chloride
193,110,11,CCCC[N+](C)(CCC)C(C)C,CCCC[N+](C)(CCC)C(C)C.[Br-],Bromide
194,110,11,CCCC[N+](C)(CCC)C(C)C,CCCC[N+](C)(CCC)C(C)C.[Cl-],Chloride
195,111,11,CCCC[N+](C)(CCC)CCC,CCCC[N+](C)(CCC)CCC.[Br-],Bromide
196,111,11,CCCC[N+](C)(CCC)CCC,CCCC[N+](C)(CCC)CCC.[Cl-],Chloride
197,112,11,CCCC[N+](CC)(CC)C(C)C,CCCC[N+](CC)(CC)C(C)C.[Br-],Bromide
198,112,11,CCCC[N+](CC)(CC)C(C)C,CCCC[N+](CC)(CC)C(C)C.[Cl-],Chloride
199,113,11,CCCC[N+](CC)(CC)CCC,CCCC[N+](CC)(CC)CCC.[Br-],Bromide
200,113,11,CCCC[N+](CC)(CC)CCC,CCCC[N+](CC)(CC)CCC.[Cl-],Chloride
201,115,11,CCC[N+](C)(CC(C)C)C(C)C,CCC[N+](C)(CC(C)C)C(C)C.[Br-],Bromide
202,115,11,CCC[N+](C)(CC(C)C)C(C)C,CCC[N+](C)(CC(C)C)C(C)C.[Cl-],Chloride
203,116,11,CCC[N+](C)(CC)CC(C)CC,CCC[N+](C)(CC)CC(C)CC.[Br-],Bromide
204,116,11,CCC[N+](C)(CC)CC(C)CC,CCC[N+](C)(CC)CC(C)CC.[Cl-],Chloride
205,120,11,CCC[N+](CC)(C(C)C)C(C)C,CCC[N+](CC)(C(C)C)C(C)C.[Br-],Bromide
206,120,11,CCC[N+](CC)(C(C)C)C(C)C,CCC[N+](CC)(C(C)C)C(C)C.[Cl-],Chloride
207,123,11,CCC[N+](CC)(CCC)C(C)C,CCC[N+](CC)(CCC)C(C)C.[Br-],Bromide
208,123,11,CCC[N+](CC)(CCC)C(C)C,CCC[N+](CC)(CCC)C(C)C.[Cl-],Chloride
209,124,11,CCC[N+](CC)(CCC)CCC,CCC[N+](CC)(CCC)CCC.[Br-],Bromide
210,124,11,CCC[N+](CC)(CCC)CCC,CCC[N+](CC)(CCC)CCC.[Cl-],Chloride
211,125,11,CC[N+](C(C)C)(C(C)C)C(C)C,CC[N+](C(C)C)(C(C)C)C(C)C.[Br-],Bromide
212,125,11,CC[N+](C(C)C)(C(C)C)C(C)C,CC[N+](C(C)C)(C(C)C)C(C)C.[Cl-],Chloride
213,126,11,CC[N+](C)(C(C)(C)C)C(C)(C)C,CC[N+](C)(C(C)(C)C)C(C)(C)C.[Br-],Bromide
214,126,11,CC[N+](C)(C(C)(C)C)C(C)(C)C,CC[N+](C)(C(C)(C)C)C(C)(C)C.[Cl-],Chloride
215,128,11,CC[N+](C)(CC(C)C)CC(C)C,CC[N+](C)(CC(C)C)CC(C)C.[Br-],Bromide
216,128,11,CC[N+](C)(CC(C)C)CC(C)C,CC[N+](C)(CC(C)C)CC(C)C.[Cl-],Chloride
217,129,11,CC[N+](C)(CCC(C)C)C(C)C,CC[N+](C)(CCC(C)C)C(C)C.[Br-],Bromide
218,129,11,CC[N+](C)(CCC(C)C)C(C)C,CC[N+](C)(CCC(C)C)C(C)C.[Cl-],Chloride
