Index,Num_c,SMILES
347,20,CCCCCCC[N+](C)(CCCCCC)CCCCCC
348,20,CCCCCCC[N+](CC)(CCCC)CCCCCCC
349,20,CCCCCCC[N+](CC)(CCCCC)CCCCCC
350,20,CCCCCCC[N+](CCC)(CCC)CCCCCCC
351,20,CCCCCCC[N+](CCC)(CCCC)CCCCCC
352,20,CCCCCCC[N+](CCC)(CCCCC)CCCCC
353,20,CCCCCCC[N+](CCCC)(CCCC)CCCCC
354,20,CCCCCC[N+](CC)(CCCCCC)CCCCCC
355,20,CCCCCC[N+](CCC)(CCCCC)CCCCCC
356,20,CCCCCC[N+](CCCC)(CCCC)CCCCCC
357,20,CCCCCC[N+](CCCC)(CCCCC)CCCCC
358,20,CCCCC[N+](CCCCC)(CCCCC)CCCCC
