Index,Num_c,SMILES,smiles,exists,cid,name,molecular_weight
76,10,CC[N+](C)(CC)CCC(C)C,CC[N+](C)(CC)CCC(C)C,True,59061293.0,diethyl-methyl-(3-methylbutyl)azanium,158.3
77,10,CC[N+](CC)(C(C)C)C(C)C,CC[N+](CC)(C(C)C)C(C)C,True,18677367.0,diethyl-di(propan-2-yl)azanium,158.3
78,10,CC[N+](CC)(CC)C(C)(C)C,CC[N+](CC)(CC)C(C)(C)C,True,18979420.0,tert-butyl(triethyl)azanium,158.3
79,10,CC[N+](CC)(CC)CC(C)C,CC[N+](CC)(CC)CC(C)C,True,13513450.0,triethyl(2-methylpropyl)azanium,158.3
80,11,CC(C)CC[N+](C)(C)C(C)(C)C,CC(C)CC[N+](C)(C)C(C)(C)C,True,,,
81,11,CC(C)CC[N+](C)(C)CC(C)C,CC(C)CC[N+](C)(C)CC(C)C,True,168144637.0,dimethyl-(3-methylbutyl)-(2-methylpropyl)azanium,172.33
82,11,CC(C)C[N+](C)(C(C)C)C(C)C,CC(C)C[N+](C)(C(C)C)C(C)C,True,159813761.0,methyl-(2-methylpropyl)-di(propan-2-yl)azanium,172.33
83,11,CC(C)[N+](C)(C(C)C)C(C)(C)C,CC(C)[N+](C)(C(C)C)C(C)(C)C,True,148579920.0,tert-butyl-methyl-di(propan-2-yl)azanium,172.33
84,11,CCC(C)C[N+](C)(C)C(C)(C)C,CCC(C)C[N+](C)(C)C(C)(C)C,True,,,
85,11,CCC(C)C[N+](C)(C)CC(C)C,CCC(C)C[N+](C)(C)CC(C)C,True,146880729.0,dimethyl-(2-methylbutyl)-(2-methylpropyl)azanium,172.33
86,11,CCC(C)C[N+](C)(CC)C(C)C,CCC(C)C[N+](C)(CC)C(C)C,True,,,
87,11,CCC(C)C[N+](CC)(CC)CC,CCC(C)C[N+](CC)(CC)CC,True,13426949.0,triethyl(2-methylbutyl)azanium,172.33
88,11,CCCC(C)[N+](C)(C)C(C)(C)C,CCCC(C)[N+](C)(C)C(C)(C)C,True,91155612.0,tert-butyl-dimethyl-pentan-2-ylazanium,172.33
89,11,CCCC(C)[N+](C)(C)CC(C)C,CCCC(C)[N+](C)(C)CC(C)C,True,,,
90,11,CCCC(C)[N+](C)(CC)C(C)C,CCCC(C)[N+](C)(CC)C(C)C,True,,,
