Index,Num_c,SMILES,CID,IUPACName,XLogP,Volume3D,MolecularWeight,Charge,EffectiveRotorCount3D,RotatableBondCount,TPSA,Complexity,HeavyAtomCount,FeatureCationCount3D,FeatureHydrophobeCount3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,ConformerCount3D
76,14,CCCCCCCC[N+](C)(C)CCCC,86022633,butyl-dimethyl-octylazanium,4.9,198.5,214.41,1,10.0,10,0,129,15,1.0,4.0,18.01,1.91,0.84,10
78,14,CCCCCCCC[N+](CC)(CC)CC,11411485,triethyl(octyl)azanium,4.8,195.3,214.41,1,10.0,10,0,119,15,1.0,3.0,12.81,1.91,1.26,10
79,14,CCCCCCC[N+](C)(C)CCCCC,87493941,heptyl-dimethyl-pentylazanium,4.9,198.2,214.41,1,10.0,10,0,129,15,1.0,3.0,8.43,4.19,1.21,10
80,14,CCCCCCC[N+](C)(CC)CCCC,146418800,butyl-ethyl-heptyl-methylazanium,4.8,197.0,214.41,1,10.0,10,0,133,15,1.0,3.0,11.13,3.4,1.05,10
83,14,CCCCCC[N+](C)(C)CCCCCC,158284,dihexyl(dimethyl)azanium,4.9,198.1,214.41,1,10.0,10,0,115,15,1.0,4.0,10.61,4.58,0.95,10
84,14,CCCCCC[N+](C)(CC)CCCCC,87508057,ethyl-hexyl-methyl-pentylazanium,4.8,196.9,214.41,1,10.0,10,0,133,15,1.0,3.0,13.27,2.57,1.02,10
85,14,CCCCCC[N+](C)(CCC)CCCC,87507944,butyl-hexyl-methyl-propylazanium,4.8,196.6,214.41,1,10.0,10,0,133,15,1.0,4.0,8.92,4.0,1.19,10
86,14,CCCCCC[N+](CC)(CC)CCCC,153996762,butyl-diethyl-hexylazanium,4.6,195.4,214.41,1,10.0,10,0,127,15,1.0,3.0,8.18,3.69,1.32,10
87,14,CCCCCC[N+](CC)(CCC)CCC,153959332,ethyl-hexyl-dipropylazanium,4.8,195.4,214.41,1,10.0,10,0,125,15,1.0,4.0,8.81,2.75,1.69,10
88,14,CCCCC[N+](C)(CCC)CCCCC,87509148,methyl-dipentyl-propylazanium,4.8,197.0,214.41,1,10.0,10,0,121,15,1.0,3.0,10.6,3.4,1.08,10
89,14,CCCCC[N+](C)(CCCC)CCCC,21452154,dibutyl-methyl-pentylazanium,4.6,197.0,214.41,1,10.0,10,0,123,15,1.0,3.0,7.66,4.61,1.29,10
