Index,Num_c,SMILES,CID,IUPACName,MolecularWeight,Volume3D,HeavyAtomCount,Charge,TPSA,XLogP,Complexity,RotatableBondCount,EffectiveRotorCount3D,HBondDonorCount,HBondAcceptorCount,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCationCount3D,FeatureHydrophobeCount3D,ConformerCount3D,ConformerModelRMSD3D
98,15,CCCCCCCCCC[N+](C)(CC)CC,10450839,decyl-diethyl-methylazanium,228.44,210.3,16,1,0,5.5,138,11,11.0,0,0,21.9,1.38,0.98,1.0,1.0,10,1.0
99,15,CCCCCCCCC[N+](C)(C)CCCC,87493295,butyl-dimethyl-nonylazanium,228.44,211.3,16,1,0,5.5,140,11,11.0,0,0,17.69,2.77,0.93,1.0,2.0,10,1.0
101,15,CCCCCCCCC[N+](CC)(CC)CC,2249305,triethyl(nonyl)azanium,228.44,208.6,16,1,0,5.3,130,11,11.0,0,0,18.64,1.4,1.27,1.0,1.0,10,1.0
102,15,CCCCCCCC[N+](C)(C)CCCCC,71346400,dimethyl-octyl-pentylazanium,228.44,211.9,16,1,0,5.5,140,11,11.0,0,0,19.91,2.4,0.83,1.0,4.0,10,1.2
103,15,CCCCCCCC[N+](C)(CC)CCCC,53833324,butyl-ethyl-methyl-octylazanium,228.44,209.9,16,1,0,5.3,144,11,11.0,0,0,17.04,2.28,1.02,1.0,4.0,10,1.0
104,15,CCCCCCCC[N+](C)(CCC)CCC,143162850,methyl-octyl-dipropylazanium,228.44,210.0,16,1,0,5.5,136,11,11.0,0,0,15.39,2.57,1.06,1.0,5.0,10,1.0
106,15,CCCCCCC[N+](C)(C)CCCCCC,23094264,heptyl-hexyl-dimethylazanium,228.44,211.4,16,1,0,5.5,140,11,11.0,0,0,12.14,5.19,0.93,1.0,4.0,10,1.0
109,15,CCCCCCC[N+](CC)(CC)CCCC,87526431,butyl-diethyl-heptylazanium,228.44,208.4,16,1,0,5.1,138,11,11.0,0,0,10.83,3.51,1.28,1.0,3.0,10,1.0
110,15,CCCCCCC[N+](CC)(CCC)CCC,87089434,ethyl-heptyl-dipropylazanium,228.44,208.4,16,1,0,5.3,136,11,11.0,0,0,11.47,2.64,1.65,1.0,4.0,10,1.0
111,15,CCCCCC[N+](C)(CC)CCCCCC,87507678,ethyl-dihexyl-methylazanium,228.44,209.6,16,1,0,5.3,130,11,11.0,0,0,14.55,3.13,1.03,1.0,4.0,10,1.0
112,15,CCCCCC[N+](C)(CCC)CCCCC,87507746,hexyl-methyl-pentyl-propylazanium,228.44,209.7,16,1,0,5.3,144,11,11.0,0,0,12.49,3.61,1.05,1.0,4.0,10,1.0
113,15,CCCCCC[N+](C)(CCCC)CCCC,23088868,dibutyl-hexyl-methylazanium,228.44,209.5,16,1,0,5.1,134,11,11.0,0,0,9.58,4.65,1.25,1.0,4.0,10,1.0
114,15,CCCCCC[N+](CC)(CC)CCCCC,175075511,diethyl-hexyl-pentylazanium,228.44,208.5,16,1,0,5.1,138,11,11.0,0,0,12.18,2.88,1.35,1.0,3.0,10,1.0
115,15,CCCCCC[N+](CC)(CCC)CCCC,153959333,butyl-ethyl-hexyl-propylazanium,228.44,208.4,16,1,0,5.1,144,11,11.0,0,0,10.03,3.3,1.54,1.0,4.0,10,1.0
116,15,CCCCCC[N+](CCC)(CCC)CCC,20376280,hexyl(tripropyl)azanium,228.44,208.0,16,1,0,5.3,125,11,11.0,0,0,9.05,2.63,2.22,1.0,5.0,10,1.0
117,15,CCCCC[N+](C)(CCCC)CCCCC,54255437,butyl-methyl-dipentylazanium,228.44,210.0,16,1,0,5.1,132,11,11.0,0,0,10.18,4.47,1.21,1.0,3.0,10,1.0
118,15,CCCCC[N+](CC)(CCC)CCCCC,118020676,ethyl-dipentyl-propylazanium,228.44,208.5,16,1,0,5.1,132,11,11.0,0,0,9.61,3.41,1.58,1.0,3.0,10,1.0
119,15,CCCCC[N+](CC)(CCCC)CCCC,118020723,dibutyl-ethyl-pentylazanium,228.44,208.3,16,1,0,4.9,134,11,11.0,0,0,7.37,4.04,1.88,1.0,3.0,10,1.0
120,15,CCCCC[N+](CCC)(CCC)CCCC,87492071,butyl-pentyl-dipropylazanium,228.44,208.3,16,1,0,5.1,136,11,11.0,0,0,6.63,3.95,2.21,1.0,4.0,10,1.0
121,15,CCCC[N+](CCC)(CCCC)CCCC,5248503,tributyl(propyl)azanium,228.44,207.9,16,1,0,4.9,121,11,11.0,0,0,6.56,4.85,0.98,1.0,4.0,7,1.0
122,16,CCCCCCCCCCCCC[N+](C)(C)C,11484094,trimethyl(tridecyl)azanium,242.46,225.8,17,1,0,6.4,146,12,12.0,0,0,32.93,0.94,0.8,1.0,1.0,10,1.0
123,16,CCCCCCCCCCCC[N+](C)(C)CC,62471,dodecyl-ethyl-dimethylazanium,242.46,224.6,17,1,0,6.2,152,12,12.0,0,0,30.3,1.1,0.82,1.0,1.0,10,1.0
124,16,CCCCCCCCCCC[N+](C)(C)CCC,54067909,dimethyl-propyl-undecylazanium,242.46,224.3,17,1,0,6.2,152,12,12.0,0,0,27.77,1.4,0.81,1.0,2.0,10,1.2
126,16,CCCCCCCCCC[N+](C)(C)CCCC,57255541,butyl-decyl-dimethylazanium,242.46,224.6,17,1,0,6.0,152,12,12.0,0,0,25.46,1.85,0.82,1.0,2.0,10,1.2
