序号,碳数,SMILES
220,13,CC(C)C[N+](C)(C(C)(C)C)C(C)(C)C
221,13,CC(C)C[N+](C)(CC(C)C)C(C)(C)C
222,13,CC(C)C[N+](C)(CC(C)C)CC(C)C
223,13,CC(C)[N+](C(C)C)(C(C)C)C(C)(C)C
224,13,CCC(C)C[N+](C)(C(C)C)C(C)(C)C
225,13,CCC(C)C[N+](C)(CC(C)C)C(C)C
226,13,CCC(C)C[N+](C)(CC)CC(C)CC
227,13,CCC(C)C[N+](C)(CC)CCC(C)C
228,13,CCC(C)C[N+](CC)(C(C)C)C(C)C
229,13,CCC(C)C[N+](CC)(CC)C(C)(C)C
230,13,CCC(C)C[N+](CC)(CC)CC(C)C
231,13,CCCC(C)[N+](C)(C(C)C)C(C)(C)C
232,13,CCCC(C)[N+](C)(CC(C)C)C(C)C
233,13,CCCC(C)[N+](C)(CC)C(C)CCC
234,13,CCCC(C)[N+](C)(CC)CC(C)CC
235,13,CCCC(C)[N+](C)(CC)CCC(C)C
236,13,CCCC(C)[N+](C)(CCC)C(C)(C)C
237,13,CCCC(C)[N+](C)(CCC)CC(C)C
238,13,CCCC(C)[N+](CC)(C(C)C)C(C)C
239,13,CCCC(C)[N+](CC)(CC)C(C)(C)C
240,13,CCCC(C)[N+](CC)(CC)CC(C)C
241,13,CCCC(C)[N+](CC)(CCC)C(C)C
242,13,CCCC(C)[N+](CC)(CCC)CCC
243,13,CCCCCCC[N+](C)(C)C(C)(C)C
244,13,CCCCCCC[N+](C)(C)CC(C)C
245,13,CCCCCCC[N+](C)(C)CCCC
246,13,CCCCCCC[N+](C)(CC)C(C)C
247,13,CCCCCCC[N+](C)(CC)CCC
248,13,CCCCCCC[N+](CC)(CC)CC
249,13,CCCCCC[N+](C)(C(C)C)C(C)C
250,13,CCCCCC[N+](C)(C)C(C)CCC
251,13,CCCCCC[N+](C)(C)CC(C)CC
252,13,CCCCCC[N+](C)(C)CCC(C)C
253,13,CCCCCC[N+](C)(C)CCCCC
254,13,CCCCCC[N+](C)(CC)C(C)(C)C
255,13,CCCCCC[N+](C)(CC)CC(C)C
256,13,CCCCCC[N+](C)(CC)CCCC
257,13,CCCCCC[N+](C)(CCC)C(C)C
258,13,CCCCCC[N+](C)(CCC)CCC
259,13,CCCCCC[N+](CC)(CC)C(C)C
260,13,CCCCCC[N+](CC)(CC)CCC
261,13,CCCCC[N+](C)(C(C)C)C(C)(C)C
262,13,CCCCC[N+](C)(CC(C)C)C(C)C
263,13,CCCCC[N+](C)(CC)C(C)CCC
264,13,CCCCC[N+](C)(CC)CC(C)CC
265,13,CCCCC[N+](C)(CC)CCC(C)C
266,13,CCCCC[N+](C)(CC)CCCCC
267,13,CCCCC[N+](C)(CCC)C(C)(C)C
268,13,CCCCC[N+](C)(CCC)CC(C)C
269,13,CCCCC[N+](C)(CCC)CCCC
270,13,CCCCC[N+](C)(CCCC)C(C)C
271,13,CCCCC[N+](CC)(C(C)C)C(C)C
272,13,CCCCC[N+](CC)(CC)C(C)(C)C
273,13,CCCCC[N+](CC)(CC)CC(C)C
274,13,CCCCC[N+](CC)(CC)CCCC
275,13,CCCCC[N+](CC)(CCC)C(C)C
276,13,CCCCC[N+](CC)(CCC)CCC
277,13,CCCC[N+](C(C)C)(C(C)C)C(C)C
278,13,CCCC[N+](C)(C(C)(C)C)C(C)(C)C
279,13,CCCC[N+](C)(C(C)C)C(C)CCC
280,13,CCCC[N+](C)(CC(C)C)C(C)(C)C
281,13,CCCC[N+](C)(CC(C)C)CC(C)C
282,13,CCCC[N+](C)(CC(C)CC)C(C)C
283,13,CCCC[N+](C)(CCC(C)C)C(C)C
284,13,CCCC[N+](C)(CCC)C(C)CCC
285,13,CCCC[N+](C)(CCC)CC(C)CC
286,13,CCCC[N+](C)(CCC)CCC(C)C
287,13,CCCC[N+](C)(CCCC)C(C)(C)C
288,13,CCCC[N+](C)(CCCC)CC(C)C
289,13,CCCC[N+](C)(CCCC)CCCC
290,13,CCCC[N+](CC)(C(C)C)C(C)(C)C
291,13,CCCC[N+](CC)(CC(C)C)C(C)C
292,13,CCCC[N+](CC)(CC)C(C)CCC
293,13,CCCC[N+](CC)(CC)CC(C)CC
294,13,CCCC[N+](CC)(CC)CCC(C)C
295,13,CCCC[N+](CC)(CCC)C(C)(C)C
296,13,CCCC[N+](CC)(CCC)CC(C)C
297,13,CCCC[N+](CC)(CCC)CCCC
298,13,CCCC[N+](CC)(CCCC)C(C)C
299,13,CCCC[N+](CCC)(C(C)C)C(C)C
300,13,CCCC[N+](CCC)(CCC)C(C)C
301,13,CCCC[N+](CCC)(CCC)CCC
302,13,CCC[N+](C(C)C)(C(C)C)C(C)(C)C
303,13,CCC[N+](C)(CC(C)C)CC(C)CC
304,13,CCC[N+](C)(CC(C)CC)C(C)(C)C
305,13,CCC[N+](C)(CCC(C)C)C(C)(C)C
